 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               1;
     1    0.009            2500              48;
     2    0.018            2500             230;
     3    0.027            2500             438;
     4    0.035            2500             650;
     5    0.044            2500             869;
     6    0.053            2500            1077;
     7    0.062            2500            1255;
     8    0.071            2500            1408;
     9    0.080            2500            1552;
    10    0.089            2500            1685;
    11    0.097            2500            1798;
    12    0.106            2500            1890;
    13    0.115            2500            1971;
    14    0.124            2500            2045;
    15    0.133            2500            2108;
    16    0.142            2500            2160;
    17    0.151            2500            2205;
    18    0.159            2500            2245;
    19    0.168            2500            2279;
    20    0.177            2500            2308;
    21    0.186            2500            2334;
    22    0.195            2500            2357;
    23    0.204            2500            2378;
    24    0.213            2500            2397;
    25    0.221            2500            2414;
    26    0.230            2500            2429;
    27    0.239            2500            2441;
    28    0.248            2500            2449;
    29    0.257            2500            2455;
    30    0.266            2500            2459;
    31    0.274            2500            2463;
    32    0.283            2500            2468;
    33    0.292            2500            2474;
    34    0.301            2500            2480;
    35    0.310            2500            2485;
    36    0.319            2500            2489;
    37    0.328            2500            2491;
    38    0.336            2500            2492;
    39    0.345            2500            2493;
    40    0.354            2500            2494;
    41    0.363            2500            2495;
    42    0.372            2500            2496;
    43    0.381            2500            2497;
    44    0.390            2500            2498;
    45    0.398            2500            2499;
    46    0.407            2500            2500;
    47    0.416            2500            2501;
    48    0.425            2500            2502;
    49    0.434            2500            2502;
    50    0.443            2500            2503;
    51    0.452            2500            2503;
    52    0.460            2500            2503;
    53    0.469            2500            2503;
    54    0.478            2500            2503;
    55    0.487            2500            2504;
    56    0.496            2500            2504;
    57    0.505            2500            2505;
    58    0.514            2500            2506;
    59    0.522            2500            2506;
    60    0.531            2500            2506;
    61    0.540            2500            2506;
    62    0.549            2500            2506;
    63    0.558            2500            2506;
    64    0.567            2500            2506;
    65    0.576            2500            2507;
    66    0.584            2500            2507;
    67    0.593            2500            2507;
    68    0.602            2500            2507;
    69    0.611            2500            2507;
    70    0.620            2500            2507;
    71    0.629            2500            2507;
    72    0.638            2500            2507;
    73    0.646            2500            2507;
    74    0.655            2500            2508;
    75    0.664            2500            2508;
    76    0.673            2500            2508;
    77    0.682            2500            2508;
    78    0.691            2500            2508;
    79    0.699            2500            2508;
    80    0.708            2500            2508;
