 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               2;
     1    0.009            2500              48;
     2    0.018            2500             193;
     3    0.027            2500             312;
     4    0.035            2500             432;
     5    0.044            2500             559;
     6    0.053            2500             669;
     7    0.062            2500             764;
     8    0.071            2500             860;
     9    0.080            2500             959;
    10    0.089            2500            1048;
    11    0.097            2500            1127;
    12    0.106            2500            1202;
    13    0.115            2500            1275;
    14    0.124            2500            1345;
    15    0.133            2500            1409;
    16    0.142            2500            1468;
    17    0.151            2500            1526;
    18    0.159            2500            1581;
    19    0.168            2500            1632;
    20    0.177            2500            1681;
    21    0.186            2500            1727;
    22    0.195            2500            1771;
    23    0.204            2500            1812;
    24    0.213            2500            1852;
    25    0.221            2500            1888;
    26    0.230            2500            1923;
    27    0.239            2500            1954;
    28    0.248            2500            1983;
    29    0.257            2500            2011;
    30    0.266            2500            2039;
    31    0.274            2500            2066;
    32    0.283            2500            2091;
    33    0.292            2500            2115;
    34    0.301            2500            2137;
    35    0.310            2500            2156;
    36    0.319            2500            2174;
    37    0.328            2500            2191;
    38    0.336            2500            2208;
    39    0.345            2500            2224;
    40    0.354            2500            2240;
    41    0.363            2500            2255;
    42    0.372            2500            2268;
    43    0.381            2500            2281;
    44    0.390            2500            2292;
    45    0.398            2500            2303;
    46    0.407            2500            2314;
    47    0.416            2500            2324;
    48    0.425            2500            2333;
    49    0.434            2500            2342;
    50    0.443            2500            2350;
    51    0.452            2500            2357;
    52    0.460            2500            2365;
    53    0.469            2500            2372;
    54    0.478            2500            2379;
    55    0.487            2500            2386;
    56    0.496            2500            2392;
    57    0.505            2500            2397;
    58    0.514            2500            2402;
    59    0.522            2500            2407;
    60    0.531            2500            2411;
    61    0.540            2500            2416;
    62    0.549            2500            2420;
    63    0.558            2500            2424;
    64    0.567            2500            2428;
    65    0.576            2500            2432;
    66    0.584            2500            2435;
    67    0.593            2500            2438;
    68    0.602            2500            2440;
    69    0.611            2500            2443;
    70    0.620            2500            2445;
    71    0.629            2500            2448;
    72    0.638            2500            2450;
    73    0.646            2500            2452;
    74    0.655            2500            2455;
    75    0.664            2500            2457;
    76    0.673            2500            2458;
    77    0.682            2500            2460;
    78    0.691            2500            2462;
    79    0.699            2500            2464;
    80    0.708            2500            2465;
    81    0.717            2500            2467;
    82    0.726            2500            2468;
    83    0.735            2500            2470;
    84    0.744            2500            2472;
    85    0.753            2500            2473;
    86    0.761            2500            2475;
    87    0.770            2500            2476;
    88    0.779            2500            2477;
    89    0.788            2500            2478;
    90    0.797            2500            2479;
    91    0.806            2500            2480;
    92    0.815            2500            2481;
    93    0.823            2500            2483;
    94    0.832            2500            2484;
    95    0.841            2500            2484;
    96    0.850            2500            2485;
    97    0.859            2500            2486;
    98    0.868            2500            2486;
    99    0.877            2500            2487;
   100    0.885            2500            2488;
   101    0.894            2500            2488;
   102    0.903            2500            2489;
   103    0.912            2500            2490;
   104    0.921            2500            2490;
   105    0.930            2500            2491;
   106    0.939            2500            2491;
   107    0.947            2500            2491;
   108    0.956            2500            2491;
   109    0.965            2500            2492;
   110    0.974            2500            2492;
   111    0.983            2500            2492;
   112    0.992            2500            2493;
   113    1.001            2500            2493;
   114    1.009               0            2445;
   115    1.018               0            2302;
   116    1.027               0            2189;
   117    1.036               0            2072;
   118    1.045               0            1947;
   119    1.054               0            1840;
   120    1.063               0            1748;
   121    1.071               0            1654;
   122    1.080               0            1558;
   123    1.089               0            1472;
   124    1.098               0            1394;
   125    1.107               0            1321;
   126    1.116               0            1249;
   127    1.124               0            1181;
   128    1.133               0            1119;
   129    1.142               0            1060;
   130    1.151               0            1005;
   131    1.160               0             951;
   132    1.169               0             901;
   133    1.178               0             854;
   134    1.186               0             808;
   135    1.195               0             765;
   136    1.204               0             725;
   137    1.213               0             687;
   138    1.222               0             651;
   139    1.231               0             617;
   140    1.240               0             587;
   141    1.248               0             559;
   142    1.257               0             531;
   143    1.266               0             504;
   144    1.275               0             479;
   145    1.284               0             454;
   146    1.293               0             431;
   147    1.302               0             410;
   148    1.310               0             391;
   149    1.319               0             374;
   150    1.328               0             357;
   151    1.337               0             340;
   152    1.346               0             324;
   153    1.355               0             309;
   154    1.364               0             295;
   155    1.372               0             282;
   156    1.381               0             269;
   157    1.390               0             257;
   158    1.399               0             246;
   159    1.408               0             236;
   160    1.417               0             227;
   161    1.426               0             218;
   162    1.434               0             209;
   163    1.443               0             201;
   164    1.452               0             194;
   165    1.461               0             186;
   166    1.470               0             180;
   167    1.479               0             173;
   168    1.488               0             167;
   169    1.496               0             161;
