 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.009            2500              63;
     2    0.018            2500             284;
     3    0.027            2500             608;
     4    0.035            2500            1004;
     5    0.044            2500            1454;
     6    0.053            2500            1930;
     7    0.062            2500            2393;
     8    0.071            2500            2812;
     9    0.080            2500            3177;
    10    0.089            2500            3482;
    11    0.097            2500            3714;
    12    0.106            2500            3857;
    13    0.115            2500            3909;
    14    0.124            2500            3881;
    15    0.133            2500            3786;
    16    0.142            2500            3634;
    17    0.151            2500            3435;
    18    0.159            2500            3208;
    19    0.168            2500            2967;
    20    0.177            2500            2722;
    21    0.186            2500            2487;
    22    0.195            2500            2273;
    23    0.204            2500            2095;
    24    0.213            2500            1961;
    25    0.221            2500            1878;
    26    0.230            2500            1846;
    27    0.239            2500            1862;
    28    0.248            2500            1918;
    29    0.257            2500            2004;
    30    0.266            2500            2111;
    31    0.274            2500            2230;
    32    0.283            2500            2355;
    33    0.292            2500            2478;
    34    0.301            2500            2593;
    35    0.310            2500            2697;
    36    0.319            2500            2783;
    37    0.328            2500            2847;
    38    0.336            2500            2888;
    39    0.345            2500            2906;
    40    0.354            2500            2903;
    41    0.363            2500            2880;
    42    0.372            2500            2842;
    43    0.381            2500            2792;
    44    0.390            2500            2734;
    45    0.398            2500            2671;
    46    0.407            2500            2607;
    47    0.416            2500            2547;
    48    0.425            2500            2493;
    49    0.434            2500            2449;
    50    0.443            2500            2416;
    51    0.452            2500            2395;
    52    0.460            2500            2385;
    53    0.469            2500            2386;
    54    0.478            2500            2395;
    55    0.487            2500            2411;
    56    0.496            2500            2431;
    57    0.505            2500            2455;
    58    0.514            2500            2482;
    59    0.522            2500            2509;
    60    0.531            2500            2535;
    61    0.540            2500            2558;
    62    0.549            2500            2577;
    63    0.558            2500            2592;
    64    0.567            2500            2602;
    65    0.576            2500            2607;
    66    0.584            2500            2608;
    67    0.593            2500            2605;
    68    0.602            2500            2600;
