 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.009            2500              35;
     2    0.018            2500             212;
     3    0.027            2500             444;
     4    0.035            2500             694;
     5    0.044            2500             961;
     6    0.053            2500            1234;
     7    0.062            2500            1490;
     8    0.071            2500            1722;
     9    0.080            2500            1943;
    10    0.089            2500            2154;
    11    0.097            2500            2346;
    12    0.106            2500            2513;
    13    0.115            2500            2659;
    14    0.124            2500            2791;
    15    0.133            2500            2905;
    16    0.142            2500            3000;
    17    0.151            2500            3078;
    18    0.159            2500            3144;
    19    0.168            2500            3196;
    20    0.177            2500            3236;
    21    0.186            2500            3263;
    22    0.195            2500            3281;
    23    0.204            2500            3290;
    24    0.213            2500            3291;
    25    0.221            2500            3285;
    26    0.230            2500            3275;
    27    0.239            2500            3259;
    28    0.248            2500            3236;
    29    0.257            2500            3208;
    30    0.266            2500            3175;
    31    0.274            2500            3139;
    32    0.283            2500            3102;
    33    0.292            2500            3066;
    34    0.301            2500            3030;
    35    0.310            2500            2993;
    36    0.319            2500            2956;
    37    0.328            2500            2916;
    38    0.336            2500            2875;
    39    0.345            2500            2834;
    40    0.354            2500            2795;
    41    0.363            2500            2757;
    42    0.372            2500            2721;
    43    0.381            2500            2687;
    44    0.390            2500            2657;
    45    0.398            2500            2628;
    46    0.407            2500            2601;
    47    0.416            2500            2577;
    48    0.425            2500            2553;
    49    0.434            2500            2532;
    50    0.443            2500            2513;
    51    0.452            2500            2495;
    52    0.460            2500            2480;
    53    0.469            2500            2467;
    54    0.478            2500            2456;
    55    0.487            2500            2446;
    56    0.496            2500            2438;
    57    0.505            2500            2431;
    58    0.514            2500            2427;
    59    0.522            2500            2424;
    60    0.531            2500            2421;
    61    0.540            2500            2420;
    62    0.549            2500            2418;
    63    0.558            2500            2418;
    64    0.567            2500            2419;
    65    0.576            2500            2420;
    66    0.584            2500            2421;
    67    0.593            2500            2422;
    68    0.602            2500            2424;
