 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.009            2500              77;
     2    0.018            2500             274;
     3    0.027            2500             498;
     4    0.035            2500             733;
     5    0.044            2500             980;
     6    0.053            2500            1217;
     7    0.062            2500            1427;
     8    0.071            2500            1617;
     9    0.080            2500            1799;
    10    0.089            2500            1970;
    11    0.097            2500            2118;
    12    0.106            2500            2246;
    13    0.115            2500            2361;
    14    0.124            2500            2465;
    15    0.133            2500            2555;
    16    0.142            2500            2631;
    17    0.151            2500            2698;
    18    0.159            2500            2757;
    19    0.168            2500            2807;
    20    0.177            2500            2849;
    21    0.186            2500            2885;
    22    0.195            2500            2917;
    23    0.204            2500            2942;
    24    0.213            2500            2962;
    25    0.221            2500            2978;
    26    0.230            2500            2991;
    27    0.239            2500            2998;
    28    0.248            2500            2999;
    29    0.257            2500            2996;
    30    0.266            2500            2992;
    31    0.274            2500            2988;
    32    0.283            2500            2984;
    33    0.292            2500            2980;
    34    0.301            2500            2977;
    35    0.310            2500            2972;
    36    0.319            2500            2964;
    37    0.328            2500            2954;
    38    0.336            2500            2943;
    39    0.345            2500            2931;
    40    0.354            2500            2918;
    41    0.363            2500            2905;
    42    0.372            2500            2893;
    43    0.381            2500            2880;
    44    0.390            2500            2867;
    45    0.398            2500            2853;
    46    0.407            2500            2840;
    47    0.416            2500            2827;
    48    0.425            2500            2814;
    49    0.434            2500            2801;
    50    0.443            2500            2788;
    51    0.452            2500            2776;
    52    0.460            2500            2764;
    53    0.469            2500            2752;
    54    0.478            2500            2741;
    55    0.487            2500            2730;
    56    0.496            2500            2720;
    57    0.505            2500            2709;
    58    0.514            2500            2699;
    59    0.522            2500            2689;
    60    0.531            2500            2678;
    61    0.540            2500            2668;
    62    0.549            2500            2657;
    63    0.558            2500            2647;
    64    0.567            2500            2638;
    65    0.576            2500            2629;
    66    0.584            2500            2620;
    67    0.593            2500            2613;
    68    0.602            2500            2605;
