 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0               1;
     1    0.009               0               1;
     2    0.018               0               1;
     3    0.027               0               1;
     4    0.035               0               1;
     5    0.044               0               1;
     6    0.053               0               1;
     7    0.062               0               1;
     8    0.071               0               1;
     9    0.080               0               1;
    10    0.089               0               1;
    11    0.097               0               1;
    12    0.106               0               1;
    13    0.115               0               1;
    14    0.124               0               1;
    15    0.133               0               1;
    16    0.142               0               1;
    17    0.151               0               1;
    18    0.159               0               1;
    19    0.168               0               1;
    20    0.177               0               1;
    21    0.186               0               1;
    22    0.195               0               1;
    23    0.204               0               1;
    24    0.213               0               1;
    25    0.221               0               1;
    26    0.230               0               1;
    27    0.239               0               1;
    28    0.248               0               1;
    29    0.257               0               1;
    30    0.266               0               1;
    31    0.274               0               1;
    32    0.283               0               1;
    33    0.292               0               1;
    34    0.301               0               1;
    35    0.310               0               1;
    36    0.319               0               1;
    37    0.328               0               1;
    38    0.336               0               1;
    39    0.345               0               1;
    40    0.354               0               1;
    41    0.363               0               1;
    42    0.372               0               1;
    43    0.381               0               1;
    44    0.390               0               1;
    45    0.398               0               1;
    46    0.407               0               1;
    47    0.416               0               1;
    48    0.425               0               1;
    49    0.434               0               1;
    50    0.443               0               1;
    51    0.452               0               1;
    52    0.460               0               1;
    53    0.469               0               1;
    54    0.478               0               1;
    55    0.487               0               1;
    56    0.496               0               1;
    57    0.505               0               1;
    58    0.514               0               1;
    59    0.522               0               1;
    60    0.531               0               1;
    61    0.540               0               1;
    62    0.549               0               1;
    63    0.558               0               1;
    64    0.567               0               1;
    65    0.576               0               1;
    66    0.584               0               1;
    67    0.593               0               1;
    68    0.602               0               1;
    69    0.611               0               1;
    70    0.620               0               1;
    71    0.629               0               1;
    72    0.638               0               1;
    73    0.646               0               1;
    74    0.655               0               2;
    75    0.664               0               2;
    76    0.673               1               1;
    77    0.682               1               1;
    78    0.691               1               0;
    79    0.699               1               1;
    80    0.708               1               1;
    81    0.717               1               1;
    82    0.726               1               2;
    83    0.735               1               2;
    84    0.744               1               2;
    85    0.753               1               2;
    86    0.761               1               2;
    87    0.770               1               1;
    88    0.779               1               1;
    89    0.788               1               2;
    90    0.797               1               2;
    91    0.806               1               2;
    92    0.815               1               2;
    93    0.823               1               2;
    94    0.832               1               2;
    95    0.841               1               2;
    96    0.850               1               2;
    97    0.859               1               2;
    98    0.868               1               2;
    99    0.877               1               2;
   100    0.885               1               2;
   101    0.894               1               2;
   102    0.903               1               2;
   103    0.912               1               2;
   104    0.921               1               2;
   105    0.930               1               2;
   106    0.939               1               2;
   107    0.947               2               2;
   108    0.956               2               2;
   109    0.965               2               2;
   110    0.974               2               2;
   111    0.983               2               2;
   112    0.992               2               2;
   113    1.001               2               2;
   114    1.009               2               2;
   115    1.018               2               2;
   116    1.027               2               2;
   117    1.036               2               2;
   118    1.045               2               2;
   119    1.054               2               2;
   120    1.063               2               2;
   121    1.071               2               2;
   122    1.080               2               2;
   123    1.089               2               2;
   124    1.098               2               2;
   125    1.107               2               2;
   126    1.116               3               2;
   127    1.124               3               2;
   128    1.133               3               2;
   129    1.142               3               2;
   130    1.151               3               2;
   131    1.160               3               2;
   132    1.169               3               2;
   133    1.178               3               2;
   134    1.186               3               2;
   135    1.195               3               2;
   136    1.204               3               2;
   137    1.213               3               2;
   138    1.222               3               2;
   139    1.231               3               2;
   140    1.240               4               2;
   141    1.248               4               2;
   142    1.257               4               2;
   143    1.266               4               2;
   144    1.275               4               2;
   145    1.284               4               2;
   146    1.293               4               2;
   147    1.302               4               2;
   148    1.310               4               2;
   149    1.319               4               2;
   150    1.328               4               2;
   151    1.337               4               2;
   152    1.346               5               2;
   153    1.355               5               2;
   154    1.364               5               2;
   155    1.372               5               2;
