 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0               2;
     1    0.009               0               2;
     2    0.018               0               2;
     3    0.027               0               2;
     4    0.035               0               2;
     5    0.044               0               2;
     6    0.053               0               2;
     7    0.062               0               2;
     8    0.071               0               2;
     9    0.080               0               2;
    10    0.089               0               2;
    11    0.097               0               2;
    12    0.106               0               2;
    13    0.115               0               2;
    14    0.124               0               2;
    15    0.133               0               2;
    16    0.142               0               2;
    17    0.151               0               2;
    18    0.159               0               2;
    19    0.168               0               2;
    20    0.177               0               2;
    21    0.186               0               2;
    22    0.195               0               2;
    23    0.204               0               2;
    24    0.213               0               2;
    25    0.221               0               2;
    26    0.230               0               2;
    27    0.239               0               2;
    28    0.248               0               2;
    29    0.257               0               2;
    30    0.266               0               2;
    31    0.274               0               2;
    32    0.283               0               2;
    33    0.292               0               2;
    34    0.301               0               2;
    35    0.310               0               2;
    36    0.319               0               2;
    37    0.328               0               2;
    38    0.336               0               2;
    39    0.345               0               2;
    40    0.354               0               2;
    41    0.363               0               2;
    42    0.372               0               2;
    43    0.381               0               2;
    44    0.390               0               2;
    45    0.398               0               2;
    46    0.407               0               2;
    47    0.416               0               2;
    48    0.425               0               2;
    49    0.434               0               2;
    50    0.443               0               2;
    51    0.452               0               2;
    52    0.460               0               2;
    53    0.469               0               2;
    54    0.478               0               2;
    55    0.487               0               2;
    56    0.496               0               2;
    57    0.505               0               2;
    58    0.514               0               2;
    59    0.522               0               2;
    60    0.531               0               3;
    61    0.540               0               3;
    62    0.549               0               3;
    63    0.558               0               3;
    64    0.567               0               3;
    65    0.576               0               3;
    66    0.584               0               3;
    67    0.593               0               2;
    68    0.602               0               3;
    69    0.611               0               3;
    70    0.620               0               3;
    71    0.629               0               3;
    72    0.638               0               3;
    73    0.646               0               3;
    74    0.655               0               3;
    75    0.664               0               3;
    76    0.673               1               3;
    77    0.682               1               3;
    78    0.691               1               3;
    79    0.699               1               3;
    80    0.708               1               3;
    81    0.717               1               3;
    82    0.726               1               3;
    83    0.735               1               3;
    84    0.744               1               3;
    85    0.753               1               3;
    86    0.761               1               3;
    87    0.770               1               3;
    88    0.779               1               3;
    89    0.788               1               3;
    90    0.797               1               3;
    91    0.806               1               3;
    92    0.815               1               3;
    93    0.823               1               3;
    94    0.832               1               3;
    95    0.841               1               3;
    96    0.850               1               3;
    97    0.859               1               3;
    98    0.868               1               3;
    99    0.877               1               3;
   100    0.885               1               3;
   101    0.894               1               3;
   102    0.903               1               3;
   103    0.912               1               3;
   104    0.921               1               3;
   105    0.930               1               3;
   106    0.939               1               3;
   107    0.947               2               3;
   108    0.956               2               3;
   109    0.965               2               3;
   110    0.974               2               3;
   111    0.983               2               3;
   112    0.992               2               3;
   113    1.001               2               3;
   114    1.009               2               3;
   115    1.018               2               3;
   116    1.027               2               3;
   117    1.036               2               3;
   118    1.045               2               3;
   119    1.054               2               3;
   120    1.063               2               3;
   121    1.071               2               3;
   122    1.080               2               3;
   123    1.089               2               3;
   124    1.098               2               3;
   125    1.107               2               3;
   126    1.116               3               3;
   127    1.124               3               3;
   128    1.133               3               3;
   129    1.142               3               3;
   130    1.151               3               3;
   131    1.160               3               3;
   132    1.169               3               3;
   133    1.178               3               3;
   134    1.186               3               3;
   135    1.195               3               3;
   136    1.204               3               3;
   137    1.213               3               3;
   138    1.222               3               3;
   139    1.231               3               3;
   140    1.240               4               3;
   141    1.248               4               3;
   142    1.257               4               3;
   143    1.266               4               3;
   144    1.275               4               3;
